District,LEA Code,Value
Alamance-Burlington Schools,10,
Alexander County Schools,20,
Alleghany County Schools,30,
Anson County Schools,40,
Ashe County Schools,50,
Asheboro City Schools,761,
Asheville City Schools,111,
Avery County Schools,60,
Beaufort County Schools,70,
Bertie County Schools,80,
Bladen County Schools,90,
Brunswick County Schools,100,
Buncombe County Schools,110,
Burke County Schools,120,
Cabarrus County Schools,130,
Caldwell County Schools,140,
Camden County Schools,150,
Carteret County Public Schools,160,
Caswell County Schools,170,
Catawba County Schools,180,
Chapel Hill-Carrboro City Schools,681,
Charlotte-Mecklenburg Schools,600,
Chatham County Schools,190,
Cherokee County Schools,200,
Clay County Schools,220,
Cleveland County Schools,230,
Clinton City Schools,821,
Columbus County Schools,240,
Craven County Schools,250,
Cumberland County Schools,260,
Currituck County Schools,270,
Dare County Schools,280,
Davidson County Schools,290,
Davie County Schools,300,
Duplin County Schools,310,
Durham Public Schools,320,
Edenton-Chowan Schools,210,
Edgecombe County Public Schools,330,
Elizabeth City-Pasquotank Public Schools,700,
Elkin City Schools,861,
Franklin County Schools,350,
Gaston County Schools,360,
Gates County Schools,370,
Graham County Schools,380,
Granville County Schools,390,
Greene County Schools,400,
Guilford County Schools,410,
Halifax County Schools,420,
Harnett County Schools,430,
Haywood County Schools,440,
Henderson County Schools,450,
Hertford County Schools,460,
Hickory City Schools,181,
Hoke County Schools,470,
Hyde County Schools,480,
Iredell-Statesville Schools,490,
Jackson County Public Schools,500,
Johnston County Public Schools,510,
Jones County Schools,520,
Kannapolis City Schools,132,
Lee County Schools,530,
Lenoir County Public Schools,540,
Lexington City Schools,291,
Lincoln County Schools,550,
Macon County Schools,560,
Madison County Schools,570,
Martin County Schools,580,
McDowell County Schools,590,
Mitchell County Schools,610,
Montgomery County Schools,620,
Moore County Schools,630,
Mooresville Graded School District,491,
Mount Airy City Schools,862,
Nash-Rocky Mount Schools,640,
New Hanover County Schools,650,
Newton Conover City Schools,182,
Northampton County Schools,660,
Onslow County Schools,670,
Orange County Schools,680,
Pamlico County Schools,690,
Pender County Schools,710,
Perquimans County Schools,720,
Person County Schools,730,
Pitt County Schools,740,
Polk County Schools,750,
Public Schools of Robeson County,780,
Randolph County School System,760,
Richmond County Schools,770,
Roanoke Rapids City Schools,421,
Rockingham County Schools,790,
Rowan-Salisbury Schools,800,
Rutherford County Schools,810,
Sampson County Schools,820,
Scotland County Schools,830,
Stanly County Schools,840,
Stokes County Schools,850,
Surry County Schools,860,
Swain County Schools,870,
Thomasville City Schools,292,
Transylvania County Schools,880,
Tyrrell County Schools,890,
Union County Public Schools,900,
Vance County Schools,910,
Wake County Schools,920,
Warren County Schools,930,
Washington County Schools,940,
Watauga County Schools,950,
Wayne County Public Schools,960,
Weldon City Schools,422,
Whiteville City Schools,241,
Wilkes County Schools,970,
Wilson County Schools,980,
Winston Salem / Forsyth County Schools,340,
Yadkin County Schools,990,
Yancey County Schools,995,
